District,Crop,Season,Area(Ha),Production(Tonnes)
Nalgonda,Paddy,Kharif,55000,220000
Karimnagar,Cotton,Rabi,30000,45000
Adilabad,Maize,Kharif,20000,38000
Warangal Rural,Paddy,Kharif,12000,48000
Warangal Urban,Chilli,Rabi,8000,9200
Mahbubnagar,Groundnut,Rabi,12000,18000
Medak,Jowar,Kharif,9000,12000
Nizamabad,Soybean,Kharif,15000,21000
Khammam,Chilli,Rabi,8000,10000
Rangareddy,Sunflower,Rabi,6000,7500
Sangareddy,Pigeon Pea,Kharif,14000,19000
Bhadradri Kothagudem,Sugarcane,Annual,4000,160000
Jagtial,Paddy,Rabi,22000,90000
Kamareddy,Maize,Rabi,13000,24000
Vikarabad,Groundnut,Kharif,11000,17000
Suryapet,Red Gram,Rabi,7000,9500
Yadadri Bhuvanagiri,Cotton,Kharif,10000,15500
Mancherial,Paddy,Kharif,25000,95000
Rajanna Sircilla,Jowar,Rabi,5000,7000
Jayashankar Bhupalapally,Chilli,Kharif,6500,8700
Mulugu,Turmeric,Rabi,3000,7200
Narayanpet,Soybean,Rabi,4500,6400
Medchalâ€“Malkajgiri,Sunflower,Kharif,2000,2500
Wanaparthy,Millet,Kharif,3500,5000
Jogulamba Gadwal,Sugarcane,Annual,2800,120000
Nagarkurnool,Pigeon Pea,Kharif,9000,13500
Hyderabad,Leafy Greens,Kharif,4000,8500
Jangaon,Green Gram,Rabi,7000,11000
Komaram Bheem Asifabad,Red Gram,Kharif,6000,9000
Mahabubabad,Turmeric,Rabi,5000,9500
Nirmal,Turmeric,Kharif,3500,6000
Siddipet,Marigold,Kharif,4500,7000
Peddapalli,Maize,Kharif,9000,17000
